given,family,affiliation,gender,full_name,id
C.,Balázs,Gragra Ülikool,male,Caleb Balázs,0704.0001
E. L.,Berger,Prapa Ülikool,female,Edna Berger,0704.0001
P. M.,Nadolsky,Narva Kolledž,male,Pavel Nadolsky,0704.0001
C. -P.,Yuan,Huru University,male,Cole Yuan,0704.0001
Ileana,Streinu,Grando University,female,Ileana Streinu,0704.0002
Louis,Theran,Google,male,Louis Theran,0704.0002
Hongjun,Pan,Huange University,male,Hongjun Pan,0704.0003
David,Callan,Malgo School,male,David Callan,0704.0004
Wael,Abu-Shammala,Ropero University,male,Wael Abu-Shammala,0704.0005
Alberto,Torchinsky,Google,male,Alberto Torchinsky,0704.0005
Alberto,Torchinsky,Google,male,Alberto Torchinsky,0704.0012